store_id,sku_id,category,baseline_mape,baseline_wape,regression_mape,regression_wape
ST001,SKU0001,Personalcare,0.7923280423280423,0.7364341085271318,0.508980472082794,0.49879443778655685
ST001,SKU0002,Homecare,1.1631687242798354,0.6880733944954128,0.5331167077227287,0.6030429295764526
ST001,SKU0003,Snacks,0.7215769740910718,0.5260663507109005,0.8496621191017424,0.4890778260418905
ST001,SKU0004,Snacks,1.134994181238929,0.6542056074766355,0.5113958166190938,0.5791419743061158
ST001,SKU0005,Beverages,1.0287656787656787,0.6544502617801047,0.6704160145348835,0.4840439204787738
ST001,SKU0006,Dairy,1.13794853605778,0.6862745098039216,0.6573057205534936,0.5652528870182894
ST001,SKU0007,Dairy,0.9783250975215261,0.6624203821656051,0.49860191705499657,0.4862074186437521
ST001,SKU0008,Beverages,2.5738417910410396,1.2463054187192117,0.5206842387284256,0.5916808381419266
ST001,SKU0009,Homecare,1.3663043478260868,1.2191780821917808,0.8562606628354447,0.7279132658203704
ST001,SKU0010,Homecare,1.4336970899470902,0.9736842105263158,0.5842573891125419,0.6868681780720797
ST001,SKU0011,Beverages,0.7063399893757036,0.6132075471698113,0.7665578124876958,0.46202052340623073
ST001,SKU0012,Dairy,1.1977111678004537,0.8352059925093633,0.9357224686884701,0.5670593416807228
ST001,SKU0013,Beverages,1.5186123400409115,0.6150234741784038,0.7904639010096278,0.3873129255463898
ST001,SKU0014,Snacks,1.7950686545521217,0.984375,0.7344242909463258,0.7619510244893642
ST001,SKU0015,Beverages,1.732649733307628,0.7368421052631579,1.3997025756477688,0.6542651102743897
ST001,SKU0016,Snacks,1.1389388185344067,0.5847457627118644,0.934874584510564,0.5544757147936602
ST001,SKU0017,Beverages,1.9071575543797763,1.1481481481481481,1.5543100644750605,0.7081810962626351
ST001,SKU0018,Homecare,2.117948717948718,1.4666666666666666,1.2475741336538273,0.9407368385885827
ST001,SKU0019,Grocery,0.6572154374365786,0.47549019607843135,0.5669661356434579,0.42082722055273325
ST001,SKU0020,Beverages,1.6290363957030622,1.1104972375690607,0.5672806503094061,0.5118297361467902
ST001,SKU0021,Dairy,1.4201127062238172,1.0,1.2551911765445756,0.5749847893891672
ST001,SKU0022,Snacks,0.5694897524227082,0.44545454545454544,0.5070791346327921,0.5006474944253952
ST001,SKU0023,Dairy,0.8417623825999545,0.6634304207119741,0.43837635284604703,0.42972713195557816
ST001,SKU0024,Beverages,1.6848767880630628,0.8018018018018018,0.6653394555021299,0.5700943466031454
ST001,SKU0025,Beverages,1.3579501915708814,0.9444444444444444,0.7420318831744949,0.6297768680964894
ST001,SKU0026,Homecare,1.119675925925926,0.8108108108108109,0.908010789906374,0.7467542000222247
ST001,SKU0027,Homecare,1.8953333333333333,1.5714285714285714,0.684021965288604,0.5703308848053124
ST001,SKU0028,Personalcare,0.6049085989017339,0.7520661157024794,0.8026065306769113,0.8915848136252601
ST001,SKU0029,Snacks,0.8427515936444507,0.6869565217391305,0.6485560607329097,0.6470420890646941
ST001,SKU0030,Homecare,0.8266045548654243,0.8390804597701149,0.696810209947697,0.7068936375256017
ST001,SKU0031,Beverages,1.1508083480305704,0.8055555555555556,0.5587519345750364,0.6252355826398479
ST001,SKU0032,Snacks,1.3210388321995465,0.8260869565217391,0.5002882657576274,0.5166085543603923
ST001,SKU0033,Grocery,1.1020711471294284,0.5789473684210527,0.6264626867528295,0.4706440551511322
ST001,SKU0034,Personalcare,0.7818681318681318,0.6907216494845361,0.5796216035362753,0.7225403644938447
ST001,SKU0035,Homecare,1.7895502645502646,1.1616161616161615,0.5652061195936272,0.6460297672072929
ST001,SKU0036,Grocery,1.1883852997090238,0.7506361323155216,0.5524494431436098,0.4708811537886205
ST001,SKU0037,Dairy,1.2425338036449147,0.7565217391304347,0.7564842799300313,0.5333481342624039
ST001,SKU0038,Grocery,1.149304147318965,0.8341968911917098,0.5988224511569625,0.6539293306723033
ST001,SKU0039,Homecare,0.5115689865689866,0.5294117647058824,1.1356553854107352,0.6905535076294155
ST001,SKU0040,Beverages,0.982180751088314,0.815028901734104,0.41872410197551596,0.4872988052412897
ST001,SKU0041,Personalcare,0.8835978835978834,0.8536585365853658,1.2379150790183993,0.7921800583986496
ST001,SKU0042,Snacks,1.2876668190332787,0.8149779735682819,0.4138548725964,0.37812597581982044
ST001,SKU0043,Personalcare,1.7153333333333334,1.0930232558139534,0.6048010732593496,0.6745719573186146
ST001,SKU0044,Grocery,1.0539100009438032,0.7142857142857143,0.7180097500634748,0.5236413601235372
