store_id,sku_id,inventory_date,region,city_tier,store_size,category,price,cost,on_hand_close,days_of_cover,avg_daily_sales_hist,demand_std_hist,stockout_censored_units_hist,avg_daily_demand,demand_std_dev,lead_time_days,forecast_units_28d,forecast_avg_daily,recommended_order_qty,should_reorder,recommended_order_cost_value,recommended_action,daily_demand_for_projection,forecast_units_30d,baseline_ending_inventory,proposed_available_inventory,proposed_ending_inventory,baseline_unmet_units,proposed_unmet_units,lost_sales_avoided_units,lost_sales_avoided_value,baseline_stockout_days_proxy,proposed_stockout_days_proxy,stockout_days_reduced_proxy,baseline_inventory_value_end,proposed_inventory_value_end,inventory_value_change,baseline_holding_cost_proxy,proposed_holding_cost_proxy,holding_cost_change,baseline_fill_rate_proxy,proposed_fill_rate_proxy,fill_rate_improvement
ST012,SKU0088,2026-01-30,East,2,M,Dairy,197.58,157.72,0.0,0.0,9.616113744075829,5.920869150028785,1875,10.4643,6.4243,7.0,161.66526015512113,5.7737592912543265,85.0,True,13406.2,Raise PO,5.7737592912543265,173.2127787376298,-173.2127787376298,85.0,-88.2127787376298,173.2127787376298,88.2127787376298,85.0,16794.3,30.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49072591883507544,0.49072591883507544
ST013,SKU0005,2026-01-30,South,1,S,Beverages,262.43,175.54,0.0,0.0,6.052132701421801,4.039346092933477,1180,7.0536,5.1643,7.0,161.76556603682252,5.777341644172233,150.0,True,26331.0,Raise PO,5.777341644172233,173.32024932516697,-173.32024932516697,150.0,-23.32024932516697,173.32024932516697,23.32024932516697,150.0,39364.5,30.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8654499435815157,0.8654499435815157
ST013,SKU0004,2026-01-30,South,1,S,Snacks,539.79,385.07,0.0,0.0,6.748815165876778,4.875442448196231,1220,6.6071,4.4668,2.0,168.37060784287988,6.013235994388567,149.0,True,57375.43,Raise PO,6.013235994388567,180.397079831657,-180.397079831657,149.0,-31.39707983165701,180.397079831657,31.39707983165701,149.0,80428.70999999999,30.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8259557202314132,0.8259557202314132
ST013,SKU0003,2026-01-30,South,1,S,Snacks,220.56,169.92,0.0,0.0,6.4170616113744074,4.339902664148265,1251,6.2143,4.7241,7.0,187.03199407532063,6.679714074118594,150.0,True,25488.0,Raise PO,6.679714074118594,200.3914222235578,-200.3914222235578,150.0,-50.39142222355781,200.3914222235578,50.39142222355781,150.0,33084.0,30.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7485350337633672,0.7485350337633672
ST013,SKU0002,2026-01-30,South,1,S,Homecare,372.13,210.62,0.0,0.0,2.5165876777251186,2.109718942156765,491,2.6607,2.3063,7.0,86.02487406691594,3.0723169309612834,48.0,True,10109.76,Raise PO,3.0723169309612834,92.1695079288385,-92.1695079288385,48.0,-44.1695079288385,92.1695079288385,44.1695079288385,48.0,17862.239999999998,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5207796057353312,0.5207796057353312
ST013,SKU0001,2026-01-30,South,1,S,Personalcare,392.55,269.72,0.0,0.0,3.2227488151658767,2.72600423233365,628,4.1429,3.4188,7.0,25.849510432832428,0.9231968011725867,73.0,True,19689.56,Raise PO,0.9231968011725867,27.695904035177602,-27.695904035177602,73.0,45.304095964822395,27.695904035177602,0.0,27.695904035177602,10872.027129008968,30.0,0.0,30.0,0.0,12219.420763631897,12219.420763631897,0.0,244.38841527263796,244.38841527263796,0.0,1.0,1.0
ST012,SKU0090,2026-01-30,East,2,M,Beverages,94.33,66.54,0.0,0.0,7.701421800947867,5.086017046513631,1502,9.0893,4.7378,7.0,192.04869294347793,6.858881890838497,185.0,True,12309.9,Raise PO,6.858881890838497,205.7664567251549,-205.7664567251549,185.0,-20.76645672515491,205.7664567251549,20.76645672515491,185.0,17451.05,30.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8990775413268988,0.8990775413268988
ST012,SKU0089,2026-01-30,East,2,M,Beverages,378.75,224.18,0.0,0.0,7.251184834123222,5.571905378042965,1414,7.1607,4.4549,7.0,333.57070200597775,11.913239357356348,149.0,True,33402.82,Raise PO,11.913239357356348,357.3971807206904,-357.3971807206904,149.0,-208.39718072069041,357.3971807206904,208.39718072069041,149.0,56433.75,30.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4169031207787983,0.4169031207787983
ST012,SKU0087,2026-01-30,East,2,M,Homecare,444.35,280.58,0.0,0.0,3.4123222748815167,2.530883491594443,665,3.3214,2.2892,7.0,70.95795085787498,2.534212530638392,57.0,True,15993.06,Raise PO,2.534212530638392,76.02637591915176,-76.02637591915176,57.0,-19.02637591915176,76.02637591915176,19.02637591915176,57.0,25327.95,30.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7497398016264137,0.7497398016264137
ST012,SKU0076,2026-01-30,East,2,M,Homecare,219.6,134.25,0.0,0.0,3.132701421800948,2.5914551530803194,611,3.6607,3.3373,7.0,87.40811992866922,3.1217185688810436,66.0,True,8860.5,Raise PO,3.1217185688810436,93.65155706643131,-93.65155706643131,66.0,-27.65155706643131,93.65155706643131,27.65155706643131,66.0,14493.6,30.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7047400178641259,0.7047400178641259
