store_id,sku_id,inventory_date,region,city_tier,store_size,category,price,cost,on_hand_close,days_of_cover,avg_daily_sales_hist,demand_std_hist,stockout_censored_units_hist,avg_daily_demand,demand_std_dev,lead_time_days,forecast_units_28d,forecast_avg_daily,recommended_order_qty,should_reorder,recommended_order_cost_value,recommended_action,daily_demand_for_projection,forecast_units_30d,baseline_ending_inventory,proposed_available_inventory,proposed_ending_inventory,baseline_unmet_units,proposed_unmet_units,lost_sales_avoided_units,lost_sales_avoided_value,baseline_stockout_days_proxy,proposed_stockout_days_proxy,stockout_days_reduced_proxy,baseline_inventory_value_end,proposed_inventory_value_end,inventory_value_change,baseline_holding_cost_proxy,proposed_holding_cost_proxy,holding_cost_change,baseline_fill_rate_proxy,proposed_fill_rate_proxy,fill_rate_improvement,scenario,scenario_daily_demand,scenario_units_30d,effective_lead_time_days,po_realization_factor,scenario_effective_po_qty,scenario_baseline_ending_inventory,scenario_proposed_ending_inventory,scenario_baseline_unmet_units,scenario_proposed_unmet_units,scenario_lost_sales_avoided_units,scenario_lost_sales_avoided_value,scenario_baseline_stockout_days,scenario_proposed_stockout_days,scenario_stockout_days_reduced,scenario_baseline_inventory_value_end,scenario_proposed_inventory_value_end,scenario_inventory_value_change,scenario_holding_cost_change,scenario_baseline_fill_rate,scenario_proposed_fill_rate,scenario_fill_rate_improvement
ST012,SKU0088,2026-01-30,East,2,M,Dairy,197.58,157.72,0.0,0.0,9.616113744075829,5.920869150028785,1875,10.4643,6.4243,7.0,161.66526015512113,5.7737592912543265,85.0,True,13406.2,Raise PO,5.7737592912543265,173.2127787376298,-173.2127787376298,85.0,-88.2127787376298,173.2127787376298,88.2127787376298,85.0,16794.3,30.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49072591883507544,0.49072591883507544,Best Case,5.48507132669161,164.5521398007483,6.3,1.0233333333333334,86.98333333333335,-164.5521398007483,-77.56880646741496,164.5521398007483,77.56880646741496,86.98333333333335,17186.167000000005,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5286065160784849,0.5286065160784849
ST013,SKU0005,2026-01-30,South,1,S,Beverages,262.43,175.54,0.0,0.0,6.052132701421801,4.039346092933477,1180,7.0536,5.1643,7.0,161.76556603682252,5.777341644172233,150.0,True,26331.0,Raise PO,5.777341644172233,173.32024932516697,-173.32024932516697,150.0,-23.32024932516697,173.32024932516697,23.32024932516697,150.0,39364.5,30.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8654499435815157,0.8654499435815157,Best Case,5.488474561963621,164.65423685890863,6.3,1.0233333333333334,153.5,-164.65423685890863,-11.154236858908632,164.65423685890863,11.154236858908632,153.5,40283.005000000005,31.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.9322566058930714,0.9322566058930714
ST013,SKU0004,2026-01-30,South,1,S,Snacks,539.79,385.07,0.0,0.0,6.748815165876778,4.875442448196231,1220,6.6071,4.4668,2.0,168.37060784287988,6.013235994388567,149.0,True,57375.43,Raise PO,6.013235994388567,180.397079831657,-180.397079831657,149.0,-31.39707983165701,180.397079831657,31.39707983165701,149.0,80428.70999999999,30.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8259557202314132,0.8259557202314132,Best Case,5.712574194669139,171.37722584007415,1.8,1.0066666666666666,149.9933333333333,-171.37722584007415,-21.383892506740835,171.37722584007415,21.383892506740835,149.9933333333333,80964.90139999999,30.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.8752232544206553,0.8752232544206553
ST013,SKU0003,2026-01-30,South,1,S,Snacks,220.56,169.92,0.0,0.0,6.4170616113744074,4.339902664148265,1251,6.2143,4.7241,7.0,187.03199407532063,6.679714074118594,150.0,True,25488.0,Raise PO,6.679714074118594,200.3914222235578,-200.3914222235578,150.0,-50.39142222355781,200.3914222235578,50.39142222355781,150.0,33084.0,30.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7485350337633672,0.7485350337633672,Best Case,6.3457283704126635,190.37185111237991,6.3,1.0233333333333334,153.5,-190.37185111237991,-36.871851112379915,190.37185111237991,36.871851112379915,153.5,33855.96,30.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.8063166854924692,0.8063166854924692
ST013,SKU0002,2026-01-30,South,1,S,Homecare,372.13,210.62,0.0,0.0,2.5165876777251186,2.109718942156765,491,2.6607,2.3063,7.0,86.02487406691594,3.0723169309612834,48.0,True,10109.76,Raise PO,3.0723169309612834,92.1695079288385,-92.1695079288385,48.0,-44.1695079288385,92.1695079288385,44.1695079288385,48.0,17862.239999999998,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5207796057353312,0.5207796057353312,Best Case,2.918701084413219,87.56103253239657,6.3,1.0233333333333334,49.120000000000005,-87.56103253239657,-38.44103253239656,87.56103253239657,38.44103253239656,49.120000000000005,18279.0256,30.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.5609801367043745,0.5609801367043745
ST013,SKU0001,2026-01-30,South,1,S,Personalcare,392.55,269.72,0.0,0.0,3.2227488151658767,2.72600423233365,628,4.1429,3.4188,7.0,25.849510432832428,0.9231968011725867,73.0,True,19689.56,Raise PO,0.9231968011725867,27.695904035177602,-27.695904035177602,73.0,45.304095964822395,27.695904035177602,0.0,27.695904035177602,10872.027129008968,30.0,0.0,30.0,0.0,12219.420763631897,12219.420763631897,0.0,244.38841527263796,244.38841527263796,0.0,1.0,1.0,Best Case,0.8770369611139573,26.31110883341872,6.3,1.0233333333333334,74.70333333333335,-26.31110883341872,48.392224499914626,26.31110883341872,0.0,26.31110883341872,10328.42577255852,30.0,0.0,30.0,0.0,13052.350792116975,13052.350792116975,261.0470158423395,0.0,1.0,1.0
ST012,SKU0090,2026-01-30,East,2,M,Beverages,94.33,66.54,0.0,0.0,7.701421800947867,5.086017046513631,1502,9.0893,4.7378,7.0,192.04869294347793,6.858881890838497,185.0,True,12309.9,Raise PO,6.858881890838497,205.7664567251549,-205.7664567251549,185.0,-20.76645672515491,205.7664567251549,20.76645672515491,185.0,17451.05,30.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8990775413268988,0.8990775413268988,Best Case,6.515937796296572,195.47813388889716,6.3,1.0233333333333334,189.3166666666667,-195.47813388889716,-6.1614672222304705,195.47813388889716,6.1614672222304705,189.3166666666667,17858.24116666667,30.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.9684800182012561,0.9684800182012561
ST012,SKU0089,2026-01-30,East,2,M,Beverages,378.75,224.18,0.0,0.0,7.251184834123222,5.571905378042965,1414,7.1607,4.4549,7.0,333.57070200597775,11.913239357356348,149.0,True,33402.82,Raise PO,11.913239357356348,357.3971807206904,-357.3971807206904,149.0,-208.39718072069041,357.3971807206904,208.39718072069041,149.0,56433.75,30.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4169031207787983,0.4169031207787983,Best Case,11.31757738948853,339.52732168465593,6.3,1.0233333333333334,152.4766666666667,-339.52732168465593,-187.05065501798924,339.52732168465593,187.05065501798924,152.4766666666667,57750.537500000006,31.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.4490851160669862,0.4490851160669862
ST012,SKU0087,2026-01-30,East,2,M,Homecare,444.35,280.58,0.0,0.0,3.4123222748815167,2.530883491594443,665,3.3214,2.2892,7.0,70.95795085787498,2.534212530638392,57.0,True,15993.06,Raise PO,2.534212530638392,76.02637591915176,-76.02637591915176,57.0,-19.02637591915176,76.02637591915176,19.02637591915176,57.0,25327.95,30.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7497398016264137,0.7497398016264137,Best Case,2.4075019041064722,72.22505712319416,6.3,1.0233333333333334,58.330000000000005,-72.22505712319416,-13.895057123194157,72.22505712319416,13.895057123194157,58.330000000000005,25918.935500000003,30.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.8076144529800319,0.8076144529800319
ST012,SKU0076,2026-01-30,East,2,M,Homecare,219.6,134.25,0.0,0.0,3.132701421800948,2.5914551530803194,611,3.6607,3.3373,7.0,87.40811992866922,3.1217185688810436,66.0,True,8860.5,Raise PO,3.1217185688810436,93.65155706643131,-93.65155706643131,66.0,-27.65155706643131,93.65155706643131,27.65155706643131,66.0,14493.6,30.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7047400178641259,0.7047400178641259,Best Case,2.9656326404369913,88.96897921310973,6.3,1.0233333333333334,67.54,-88.96897921310973,-21.428979213109727,88.96897921310973,21.428979213109727,67.54,14831.784000000001,30.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.7591410016992515,0.7591410016992515
ST012,SKU0085,2026-01-30,East,2,M,Grocery,128.53,101.26,0.0,0.0,13.393364928909953,9.110525234689108,2612,15.9286,9.0732,7.0,290.37674163337647,10.370597915477731,77.0,True,7797.02,Raise PO,10.370597915477731,311.11793746433193,-311.11793746433193,77.0,-234.11793746433193,311.11793746433193,234.11793746433193,77.0,9896.81,30.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2474945695113695,0.2474945695113695,Best Case,9.852068019703845,295.56204059111536,6.3,1.0233333333333334,78.79666666666668,-295.56204059111536,-216.76537392444868,295.56204059111536,216.76537392444868,78.79666666666668,10127.735566666668,31.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.2665994134736507,0.2665994134736507
ST012,SKU0084,2026-01-30,East,2,M,Homecare,347.33,247.3,0.0,0.0,3.4549763033175354,2.503637615342845,674,3.8036,2.5966,7.0,63.486391071245826,2.267371109687351,65.0,True,16074.5,Raise PO,2.267371109687351,68.02113329062053,-68.02113329062053,65.0,-3.0211332906205257,68.02113329062053,3.0211332906205257,65.0,22576.45,30.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555853725971791,0.9555853725971791,Best Case,2.1540025542029833,64.6200766260895,6.3,1.0233333333333334,66.51666666666668,-64.6200766260895,1.8965900405771805,64.6200766260895,0.0,64.6200766260895,22444.491214539667,30.0,0.0,30.0,0.0,469.02671703473675,469.02671703473675,9.380534340694735,0.0,1.0,1.0
ST012,SKU0083,2026-01-30,East,2,M,Homecare,225.32,154.19,0.0,0.0,3.4597156398104265,2.8152709274499155,675,3.875,3.2083,7.0,29.800374713053753,1.064299096894777,69.0,True,10639.11,Raise PO,1.064299096894777,31.92897290684331,-31.92897290684331,69.0,37.07102709315669,31.92897290684331,0.0,31.92897290684331,7194.236175369934,30.0,0.0,30.0,0.0,5715.981667493829,5715.981667493829,0.0,114.31963334987658,114.31963334987658,0.0,1.0,1.0,Best Case,1.011084142050038,30.332524261501142,6.3,1.0233333333333334,70.61000000000001,-30.332524261501142,40.27747573849887,30.332524261501142,0.0,30.332524261501142,6834.524366601437,30.0,0.0,30.0,0.0,6210.383984119141,6210.383984119141,124.20767968238283,0.0,1.0,1.0
