store_id,sku_id,region,city_tier,store_size,category,price,cost,shelf_life_days,moq_units,avg_daily_demand,demand_std_dev,lead_time_days,service_level_target,safety_stock,reorder_point,recommended_order_qty,on_hand_units
ST001,SKU0001,WEST,3,M,Personalcare,392.5500,269.7200,510,12,3.6250,2.6871,7.0000,0.9500,11.7305,37.1055,62.4805,0.0000
ST001,SKU0002,WEST,3,M,Homecare,372.1300,210.6200,536,12,4.0357,2.7828,7.0000,0.9500,12.1484,40.3984,68.6484,0.0000
ST001,SKU0003,WEST,3,M,Snacks,220.5600,169.9200,396,48,7.5893,4.3182,7.0000,0.9400,17.7084,70.8334,123.9584,0.0000
ST001,SKU0004,WEST,3,M,Snacks,539.7900,385.0700,420,24,8.3393,4.9883,7.0000,0.9400,20.4565,78.8315,137.2065,0.0000
ST001,SKU0005,WEST,3,M,Beverages,262.4300,175.5400,373,12,6.4643,3.6975,7.0000,0.9500,16.1414,61.3914,106.6414,0.0000
ST001,SKU0006,WEST,3,M,Dairy,401.1400,325.4500,21,24,9.9107,5.9185,7.0000,0.9700,29.4385,98.8135,124.8750,0.0000
ST001,SKU0007,WEST,3,M,Dairy,349.2500,274.5100,8,6,10.5536,6.3844,7.0000,0.9700,31.7561,105.6311,50.6571,0.0000
ST001,SKU0008,WEST,3,M,Beverages,488.5100,393.3200,507,12,8.0357,5.5398,7.0000,0.9500,24.1840,80.4340,136.6840,0.0000
ST001,SKU0009,WEST,3,M,Homecare,213.2300,128.3600,585,12,2.7143,1.9974,7.0000,0.9500,8.7196,27.7196,46.7196,0.0000
ST001,SKU0010,WEST,3,M,Homecare,297.0600,234.2900,703,12,3.2679,2.8187,7.0000,0.9500,12.3051,35.1801,58.0551,0.0000
ST001,SKU0011,WEST,3,M,Beverages,243.1500,160.7100,295,6,6.8214,4.3864,7.0000,0.9500,19.1487,66.8987,114.6487,0.0000
ST001,SKU0012,WEST,3,M,Dairy,241.4600,163.3000,18,12,9.0179,5.6937,7.0000,0.9700,28.3204,91.4454,97.3929,0.0000
ST001,SKU0013,WEST,3,M,Beverages,243.9700,135.8400,569,6,7.1607,3.9899,7.0000,0.9500,17.4178,67.5428,117.6678,0.0000
ST001,SKU0014,WEST,3,M,Snacks,96.6900,78.4300,238,12,8.5893,6.8431,7.0000,0.9400,28.0630,88.1880,148.3130,0.0000
ST001,SKU0015,WEST,3,M,Beverages,267.8000,210.4000,548,12,6.8036,4.7651,7.0000,0.9500,20.8020,68.4270,116.0520,0.0000
ST001,SKU0016,WEST,3,M,Snacks,273.9600,176.9700,667,24,8.2679,4.9963,7.0000,0.9400,20.4895,78.3645,136.2395,0.0000
